title,artist
Heat It Up,Hook N Sling Feat. Nani Castle
Satellite,Remedy Club And Charlie Boon Feat. MELODIE
If U Need It,Sammy Virji
Rule The World (Everybody),"Tiesto, Tears For Fears, NIIKO X SWAE And Gudfella"
Pain Away,Harry Hayes Feat. Lily Ward
In My Head,Paul Woolford And LF System Feat. Shayan
Heart Still Beating,Nathan Dawe And Bebe Rexha
Big F U,"David Guetta, Ayra Starr And Lil Durk"
Beggin You,Hayden James
Oh My God,The Aston Shuffle
Love On You,The Magician And A-Trak Feat. Griff Clawson
Houdini,Dua Lipa
Deepend,Goodboys And Fastboy
Freedom,Loods Feat. KLP
I Believe In Love Again,Peggy Gou And Lenny Kravitz
Body Moving,Eliza Rose And Calvin Harris
Miss Dopamine,Flava D And Paige Eliza
Take U,Jengi
It's Alright,Mashd N Kutcher
Need To Know,Murphy's Law
Higher Rush,ShockOne Feat. Freaks and Geeks
Selecta,Chase and Status Feat. Stefflon Don
Break Your Composure,Jordan Burns
Fantasy,Keys N Krates And Ciara
Water,Tyla And Marshmello
Thicc,Shygirl
Little Bit Yours,Galantis And Hannah Boleyn
Believe In Myself,PARISI
Vacancy,Switch Disco
High And I Like It,It's Murph And Evalyn
Going Out To The Ravers,Sigma Feat. Everyone You Know
Toxic,Sunset Bros And Kormak
Funk Soul Brother (GENESI Edit),VLTRA
Joy (Up The Street),Joy Anonymous
Paris,Kenya Grace
The Garden,Navos
Leave Me Alone,Fred again.. And Baby Keem
I Got Nothing,"MEDUZA, Ferreck Dawn And Clementine Douglas"
Follow,Solardo And Little Fritter
Levitate,Sonny Fodera And Marten Horger
Get Down Tonight,Delta Heavy Feat. Hayley May
Give It Up,Enzo Is Burning
Young And Foolish,Loud Luxury Feat. charlieonnafriday
Lovin On Me (Majestic Remix),Jack Harlow
Wasted Youth,goddard. And Cat Burns
Hungover,John Summit And Mathame Feat. Camden Cox
Give You,Odd Mob
Bringing Me Home,Snakehips Feat. LAUREL
All My Life,Tiesto And FAST BOY
One Of Your Girls (Dillon Francis Remix),Troye Sivan
Alibi,Ella Henderson And Rudimental
Real Love,Jess Bays And Kelli-Leigh
No Man's Land,Marshmello And venbee
Overpowered,Smokey Bubblin' B And Alex Mills
Best Thing,Timmy Trumpet
Forever (Stay Like This),Armin van Buuren And Goodboys
Cutting Loose,"Disco Lines, J. Worra And Anabel Englund"
Sunflower,Harry Hayes
Never Be Alone,Becky Hill Feat. Sonny Fodera
Biggest Regret,Gorgon City Feat. BbyAfricka
Life Gets Hard,iilliaa And Jem Cooke
All Night Long,"Kungs, David Guetta And Izzy Bizu"
Wish We Could,Northeast Party House
Halo,Remedy Club And sim0ne
This Moment,Wilkinson Feat. Kelli-Leigh
Delete Our Love,Hybrid Minds And Brodie
Rest Of My Life,"Jonas Blue,Sam Feldt, Endless Summer And Sadie Rose Van"
In Your Arms,Loods
Care About Us,Sigma Feat. Ebenezer
Dominos,D.O.D Feat. Hannah Boleyn
One Night/All Night,Justice And Tame Impala
Blame You,Nero
Waterslides,"Tiesto, Rudimental And Absolutely"
Shooting Star,Jazzy
Happier,The Blessed Madonna Feat. Clementine Douglas
Let It Go,Bru-C And Shapes
Wonderful Life,Tina Cousins And Sunset Bros
Thinking 'Bout Us,Dannii Minogue And Autone
Lowkey (LDN Drift),Hedex And Tion Wayne Feat. Takura
Beats For The Underground,Mau P
Lifetime,Tobiahs
Escape The Lights,A Little Sound And Disrupta
Perfect (Exceeder),David Guetta And Mason Vs. Princess Superstar
Good For You,"Dimitri Vegas, Chapter and Verse And Goodboys"
Somebody (2024),"Gotye, Kimbra, FISHER, Chris Lake And Sante Sansone"
Never Be Lonely,Jax Jones And Zoe Wees
"All Day, All Night","Odd Mob, OMNOM And HYPERBEAM"
Give Me,Will Clarke And BURNS
Want2,2Touch
Lovers In A Past Life,Calvin Harris And Rag'n'Bone Man
Rage,Charlotte Plank
Bang It,Dave Winnel
Crowded Roomz,Nia Archives
Mr Useless,Shygirl Feat. SG Lewis
Sleepwalking,Issey Cross Feat. Songer
Vibrate,James Hype And Tita Lau
